bus_ID,Type,Pmax [MW],Pmin [MW]
1,Solar,118.849,0
2,Solar,88.095,0
3,Solar,28.84,0
4,Solar,118.947,0
5,Solar,140.678,0
6,Solar,88.565,0
7,Solar,24.188,0
8,Solar,117.498,0
9,Solar,148.083,0
10,Solar,111.48,0
11,Solar,83.592,0
12,Solar,187.406,0
13,Solar,71.817,0
14,Solar,142.863,0
15,Solar,147.991,0
16,Solar,97.885,0
17,Solar,72.061,0
18,Solar,30.47316784,0
19,Solar,8.852,0
20,Solar,48.516,0
21,Solar,51.23462107,0
22,Solar,9.401832156,0
23,Solar,16.28637893,0
24,Solar,20.41607063,0
25,Solar,22.826,0
26,Solar,47.034,0
27,Solar,143.226,0
28,Solar,20.406,0
29,Solar,161.526,0
30,Solar,14.843,0
31,Solar,148.328,0
32,Solar,97.26492937,0
33,Solar,14.387,0
34,Solar,231.684,0
35,Solar,44.988,0
36,Solar,54.035,0
37,Solar,47.571,0
38,Solar,5.625,0
39,Solar,40.052,0
40,Solar,10.32,0
41,Solar,50.339,0
42,Solar,153.819,0
43,Solar,94.397,0
44,Solar,111.938,0
45,Solar,31.994,0
46,Solar,138.769,0
47,Solar,78.99204815,0
48,Solar,82.646,0
49,Solar,74.805,0
50,Solar,61.77995245,0
51,Solar,83.509,0
52,Solar,104.846,0
53,Solar,92.211,0
54,Solar,96.638,0
55,Solar,103.644,0
56,Solar,33.00199939,0
57,Solar,93.354,0
58,Solar,43.777,0
59,Solar,156.989,0
60,Solar,77.672,0
61,Solar,67.109,0
62,Solar,212.837,0
63,Solar,212.503,0
64,Solar,205.229,0
65,Solar,145.024,0
66,Solar,125.369,0
67,Solar,136.539,0
68,Solar,379.222,0
69,Solar,107.167,0
70,Solar,191.89,0
71,Solar,176.538,0
72,Solar,20.69,0
73,Solar,284.541,0
74,Solar,38.188,0
75,Solar,216.852,0
76,Solar,343.293,0
77,Solar,72.771,0
78,Solar,199.647,0
79,Solar,162.751,0
80,Solar,70.418,0
81,Solar,19.533,0
82,Solar,370.453,0
83,Solar,58.856,0
84,Solar,69.909,0
85,Solar,325.912,0
86,Solar,162.409,0
87,Solar,50.221,0
88,Solar,273.059,0
89,Solar,575.548,0
90,Solar,110.634,0
91,Solar,370.37,0
92,Solar,472.601,0
93,Solar,87.901,0
94,Solar,135.811,0
95,Solar,130.085,0
96,Solar,109.072,0
97,Solar,103.581,0
98,Solar,637.258,0
99,Solar,180.617,0
100,Solar,10.77,0
101,Solar,34.037,0
102,Solar,27.839,0
103,Solar,16.773,0
104,Solar,17.262,0
105,Solar,8.321,0
106,Solar,11.919,0
107,Solar,120.571,0
108,Solar,150.428,0
109,Solar,39.385,0
110,Solar,242.916,0
111,Solar,140.252,0
112,Solar,28.481,0
113,Solar,34.74,0
114,Solar,58.78088682,0
115,Solar,13.004,0
116,Solar,83.362,0
117,Solar,140.079,0
118,Solar,166.828,0
120,Solar,37.398,0
121,Solar,105.009,0
122,Solar,49.67911318,0
123,Solar,189.896,0
124,Solar,179.6,0
125,Solar,309.15,0
126,Solar,251.278,0
127,Solar,67.417,0
128,Solar,23.071,0
129,Solar,189.785,0
130,Solar,239.216,0
131,Solar,25.037,0
132,Solar,327.899,0
133,Solar,174.785,0
134,Solar,94.9,0
135,Solar,198.158,0
136,Solar,137.208,0
137,Solar,156.684,0
138,Solar,65.801,0
139,Solar,256.558,0
140,Solar,174.297,0
141,Solar,33.638,0
142,Solar,119.889,0
143,Solar,18.556,0
144,Solar,24.435,0
145,Solar,29.548,0
146,Solar,8.928,0
147,Solar,15.104,0
148,Solar,141.627,0
149,Solar,76.581,0
150,Solar,44.807,0
151,Solar,5.768,0
152,Solar,34.038,0
153,Solar,22.827,0
154,Solar,15.507,0
155,Solar,18.726,0
156,Solar,19.089,0
157,Solar,17.726,0
158,Solar,16.568,0
159,Solar,18.683,0
160,Solar,8.833,0
161,Solar,40.752,0
162,Solar,72.131,0
163,Solar,37.897,0
165,Solar,12.165,0
166,Solar,55.916,0
167,Solar,43.938,0
168,Solar,18.387,0
169,Solar,14.043,0
170,Solar,49.504,0
171,Solar,269.024,0
172,Solar,647.933,0
173,Solar,514.865,0
174,Solar,458.334,0
175,Solar,97.862,0
176,Solar,49.324,0
177,Solar,237.468,0
178,Solar,82.421,0
179,Solar,581.082,0
180,Solar,207.103,0
181,Solar,214.994,0
182,Solar,246.539,0
183,Solar,479.718,0
184,Solar,151.892,0
187,Solar,67.301,0
188,Solar,131.219425,0
189,Solar,134.416,0
190,Solar,97.615,0
191,Solar,133.059,0
192,Solar,153.696,0
193,Solar,100.864,0
194,Solar,153.958,0
195,Solar,120.648,0
196,Solar,154.445575,0
197,Solar,167.428,0